Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
"2023-03-14T09:12:50",38.705,38.203,7,0.08,"ML",1.6,"Pütürge (Malatya)",562683
"2023-03-14T09:10:05",36.526,38.043,7,0.56,"ML",1.7,"Göksun (Kahramanmaraş)",562682
"2023-03-14T09:06:52",37.641,37.792,10.5,0.33,"ML",1.6,"Gölbaşı (Adıyaman)",562679
"2023-03-14T09:06:34",38.219,38.216,7,0.24,"ML",1.7,"Yeşilyurt (Malatya)",562678
"2023-03-14T09:03:48",36.872,37.36,9.12,0.34,"ML",1.6,"Türkoğlu (Kahramanmaraş)",562677
"2023-03-14T09:01:08",36.718,37.16,7.32,0.77,"ML",1.5,"Nurdağı (Gaziantep)",562676
"2023-03-14T08:48:37",37.174,37.501,5.89,0.74,"ML",1.6,"Dulkadiroğlu (Kahramanmaraş)",562664
"2023-03-14T08:48:28",29.457,39.663,7,0.31,"ML",1.2,"Tavşanlı (Kütahya)",562668
"2023-03-14T08:41:28",36.713,38.045,7.02,0.9,"ML",1.7,"Göksun (Kahramanmaraş)",562674
"2023-03-14T08:41:14",36.903,37.342,7.66,0.68,"ML",0.5,"Türkoğlu (Kahramanmaraş)",562675
"2023-03-14T08:39:59",38.694,38.189,7,0.14,"ML",1.3,"Pütürge (Malatya)",562673
"2023-03-14T08:39:24",38.688,38.202,7,0.18,"ML",1.2,"Pütürge (Malatya)",562672
"2023-03-14T08:38:07",37.811,38.233,24.28,0.68,"ML",1.5,"Doğanşehir (Malatya)",562671
"2023-03-14T08:35:54",31.15,36.584,63.9,0.66,"ML",2.6,"Akdeniz - Antalya Körfezi - [28.22 km] Manavgat (Antalya)",562663
"2023-03-14T08:35:44",37.802,38.073,2,0.23,"ML",1.5,"Doğanşehir (Malatya)",562669
"2023-03-14T08:33:02",36.473,38.038,6.63,0.83,"ML",2,"Göksun (Kahramanmaraş)",562667
"2023-03-14T08:31:53",38.009,38.073,7,0.45,"ML",1.4,"Doğanşehir (Malatya)",562666
"2023-03-14T08:30:18",37.661,37.735,3.83,0.41,"ML",1.3,"Gölbaşı (Adıyaman)",562665
"2023-03-14T08:27:53",37.045,37.375,5.39,0.43,"ML",1.1,"Dulkadiroğlu (Kahramanmaraş)",562660
"2023-03-14T08:25:25",37.059,37.38,6.81,0.07,"ML",0.6,"Dulkadiroğlu (Kahramanmaraş)",562661
"2023-03-14T08:22:13",37.816,38.136,10.35,0.29,"ML",2.5,"Doğanşehir (Malatya)",562659
"2023-03-14T08:16:52",38.67,38.182,0.7,0.37,"ML",3.4,"Pütürge (Malatya)",562657
"2023-03-14T08:10:15",36.567,37.011,6.51,0.81,"ML",2.1,"İslahiye (Gaziantep)",562662
"2023-03-14T08:09:04",37.829,38.631,7,0.65,"ML",1.2,"Hekimhan (Malatya)",562658
"2023-03-14T08:06:35",38.002,38.072,6.16,0.31,"ML",3,"Doğanşehir (Malatya)",562656
"2023-03-14T08:04:58",38.686,38.191,7,0.28,"ML",1.7,"Pütürge (Malatya)",562655
"2023-03-14T08:02:08",38.475,38.075,7,0.48,"ML",1.5,"Sincik (Adıyaman)",562654
"2023-03-14T07:52:00",37.334,38.443,7,0.46,"ML",1.9,"Darende (Malatya)",562650
"2023-03-14T07:50:27",34.597,40.946,7,0.84,"ML",2.8,"Osmancık (Çorum)",562651
"2023-03-14T07:48:24",36.496,37.701,7.14,0.98,"ML",2.1,"Andırın (Kahramanmaraş)",562649
"2023-03-14T07:47:21",38.257,38.301,7,0.81,"ML",1.4,"Yeşilyurt (Malatya)",562648
"2023-03-14T07:45:17",36.718,39.307,9.89,0.47,"ML",1.5,"Altınyayla (Sivas)",562652
"2023-03-14T07:43:14",36.346,36.275,6.95,0.34,"ML",1.9,"Antakya (Hatay)",562641
"2023-03-14T07:40:05",38.005,38.102,7,0.74,"ML",1.4,"Doğanşehir (Malatya)",562639
"2023-03-14T07:38:41",38.682,38.191,7.98,0.24,"ML",2.9,"Pütürge (Malatya)",562638
"2023-03-14T07:36:25",38.088,38.106,7,0.66,"ML",1.7,"Doğanşehir (Malatya)",562637
"2023-03-14T07:34:42",38.736,38.233,5.45,0.15,"ML",1.2,"Pütürge (Malatya)",562640
"2023-03-14T07:28:55",38.245,37.991,7,0.62,"ML",1.4,"Merkez (Adıyaman)",562643
"2023-03-14T07:28:39",36.971,37.264,7.24,0.07,"ML",1.5,"Nurdağı (Gaziantep)",562645
"2023-03-14T07:27:14",36.084,36.003,5.93,0.51,"ML",2.3,"Yayladağı (Hatay)",562644
"2023-03-14T07:25:55",33.154,39.536,7,0.32,"ML",0.7,"Bala (Ankara)",562647
"2023-03-14T07:22:11",38.657,38.324,7.52,0.98,"ML",1.2,"Battalgazi (Malatya)",562636
"2023-03-14T07:17:14",38.211,38.267,7,0.35,"ML",1.5,"Yeşilyurt (Malatya)",562635
"2023-03-14T07:16:19",36.233,37.821,5.33,0.28,"ML",1.6,"Saimbeyli (Adana)",562646
"2023-03-14T07:10:23",38.637,38.128,7,0.4,"ML",1.1,"Pütürge (Malatya)",562634
"2023-03-14T07:04:57",38.657,38.224,5.16,0.32,"ML",1.5,"Pütürge (Malatya)",562633
"2023-03-14T06:58:05",37.938,37.738,7,0.78,"ML",1.8,"Besni (Adıyaman)",562632
"2023-03-14T06:56:21",37.713,37.768,7,0.92,"ML",1.8,"Gölbaşı (Adıyaman)",562631
"2023-03-14T06:53:51",36.869,38.127,7.04,0.99,"ML",2.4,"Göksun (Kahramanmaraş)",562630
"2023-03-14T06:52:36",38.693,38.21,7,0.19,"ML",1.8,"Pütürge (Malatya)",562629
"2023-03-14T06:47:34",36.976,38.135,7,0.76,"MW",4.7,"Göksun (Kahramanmaraş)",562618
"2023-03-14T06:45:02",38.666,38.203,7,0.11,"ML",1.4,"Pütürge (Malatya)",562628
"2023-03-14T06:43:18",37.72,37.756,7,0.63,"ML",1.3,"Gölbaşı (Adıyaman)",562624
"2023-03-14T06:35:15",36.363,37.946,6.66,0.68,"ML",2.5,"Göksun (Kahramanmaraş)",562620
"2023-03-14T06:34:12",36.594,37.811,6.84,0.59,"ML",1.7,"Onikişubat (Kahramanmaraş)",562621
"2023-03-14T06:23:37",38.397,37.789,17.9,0.88,"ML",1.6,"Merkez (Adıyaman)",562625
"2023-03-14T06:23:36",38.101,37.973,7,0.07,"ML",1.3,"Doğanşehir (Malatya)",562626
"2023-03-14T06:21:50",37.739,38.055,11.65,0.24,"ML",1.3,"Doğanşehir (Malatya)",562619
"2023-03-14T06:18:22",36.703,37.144,9.42,0.03,"ML",1.1,"Nurdağı (Gaziantep)",562627
"2023-03-14T06:16:57",37.869,38.077,7,0.76,"ML",1,"Doğanşehir (Malatya)",562623
"2023-03-14T06:16:20",38.085,38.062,7,0.55,"ML",1.3,"Doğanşehir (Malatya)",562622
"2023-03-14T06:14:09",38.692,38.196,7.16,0.56,"ML",2.9,"Pütürge (Malatya)",562609
"2023-03-14T06:13:57",38.672,38.186,7,0.17,"ML",2.9,"Pütürge (Malatya)",562611
"2023-03-14T06:10:51",36.658,37.942,6.88,0.97,"ML",2.6,"Onikişubat (Kahramanmaraş)",562604
"2023-03-14T06:09:54",36.943,37.33,15,0.3,"ML",2.6,"Türkoğlu (Kahramanmaraş)",562602
"2023-03-14T06:08:41",38.217,38.141,7,0.15,"ML",1.3,"Çelikhan (Adıyaman)",562615
"2023-03-14T06:08:26",38.058,38.171,7,0.09,"ML",1.1,"Yeşilyurt (Malatya)",562614
"2023-03-14T06:04:50",28.445,37.016,7,0.21,"ML",1.4,"Ula (Muğla)",562617
"2023-03-14T06:02:57",38.691,38.188,7,0.13,"ML",1.1,"Pütürge (Malatya)",562612
"2023-03-14T06:01:17",37.588,37.826,7,0.43,"ML",1.5,"Gölbaşı (Adıyaman)",562607
"2023-03-14T05:59:30",38.6,38.186,7.01,0.28,"ML",2.5,"Battalgazi (Malatya)",562613
"2023-03-14T05:56:39",37.922,37.82,7,0.36,"ML",1.7,"Tut (Adıyaman)",562608
"2023-03-14T05:52:43",38.302,38.071,7,0.76,"ML",1.1,"Çelikhan (Adıyaman)",562616
"2023-03-14T05:51:51",36.477,37.748,7,0.65,"ML",1.5,"Andırın (Kahramanmaraş)",562606
"2023-03-14T05:46:04",37.587,38.127,7.66,0.71,"ML",2,"Elbistan (Kahramanmaraş)",562605
"2023-03-14T05:46:03",37.789,38.068,7,0.83,"ML",2.2,"Doğanşehir (Malatya)",562610
"2023-03-14T05:45:38",37.065,37.509,10.52,0.07,"ML",1.3,"Dulkadiroğlu (Kahramanmaraş)",562603
"2023-03-14T05:42:30",38.456,38.107,7,0.45,"ML",1.3,"Sincik (Adıyaman)",562601
"2023-03-14T05:38:57",38.057,38.211,7,0.38,"ML",1.9,"Yeşilyurt (Malatya)",562600
"2023-03-14T05:35:54",37.038,38.069,7,0.75,"ML",1.8,"Ekinözü (Kahramanmaraş)",562599
"2023-03-14T05:29:28",39.775,38.66,7.07,0.47,"ML",2,"Kovancılar (Elazığ)",562598
"2023-03-14T05:28:32",38.229,38.05,7,0.51,"ML",1.6,"Çelikhan (Adıyaman)",562597
"2023-03-14T05:26:51",37.866,38.124,7,0.47,"ML",2.7,"Doğanşehir (Malatya)",562596
"2023-03-14T05:23:15",36.64,37.829,7,0.4,"ML",2.5,"Onikişubat (Kahramanmaraş)",562594
"2023-03-14T05:22:43",38.582,38.128,7,0.27,"ML",1.2,"Battalgazi (Malatya)",562595
"2023-03-14T05:16:59",36.483,36.829,10.63,0.47,"ML",3.7,"Hassa (Hatay)",562592
"2023-03-14T05:03:11",35.422,37.655,6.97,0.39,"ML",2.2,"Aladağ (Adana)",562593
"2023-03-14T04:54:07",37.87,38.089,8.7,0.17,"ML",2,"Doğanşehir (Malatya)",562590
"2023-03-14T04:50:28",33.405,40.185,6.9,0.4,"ML",1.3,"Kalecik (Ankara)",562591
"2023-03-14T04:46:24",36.478,37.766,7.07,0.27,"ML",3.2,"Andırın (Kahramanmaraş)",562589
"2023-03-14T04:40:05",37.196,38.053,7.06,0.64,"ML",2.4,"Ekinözü (Kahramanmaraş)",562587
